Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTest1,Chrome 68.0.3440.106,,2018-09-04 22:17:31,2018-09-04 22:18:19,47.355s,PASSED
,,,,,,
Test Cases/LoginTest,Chrome 68.0.3440.106,,2018-09-04 22:17:32,2018-09-04 22:17:54,22.415s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 22:17:32,2018-09-04 22:17:35,3.602s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 22:17:35,2018-09-04 22:17:40,4.060s,PASSED
verifyEqual,Chrome 68.0.3440.106,,2018-09-04 22:17:40,2018-09-04 22:17:40,0.045s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-04 22:17:40,2018-09-04 22:17:40,0.085s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-04 22:17:40,2018-09-04 22:17:40,0.042s,PASSED
verifyElementVisible,Chrome 68.0.3440.106,,2018-09-04 22:17:40,2018-09-04 22:17:40,0.054s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 22:17:40,2018-09-04 22:17:40,0.114s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-04 22:17:40,2018-09-04 22:17:40,0.581s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-04 22:17:40,2018-09-04 22:17:41,0.067s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-04 22:17:41,2018-09-04 22:17:41,0.050s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-04 22:17:41,2018-09-04 22:17:41,0.143s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-04 22:17:41,2018-09-04 22:17:41,0.048s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-04 22:17:41,2018-09-04 22:17:41,0.114s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-04 22:17:41,2018-09-04 22:17:41,0.045s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 22:17:41,2018-09-04 22:17:53,12.381s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-04 22:17:53,2018-09-04 22:17:54,0.716s,PASSED
,,,,,,
Test Cases/LoginTest,Chrome 68.0.3440.106,,2018-09-04 22:17:54,2018-09-04 22:18:19,24.560s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-04 22:17:54,2018-09-04 22:17:56,2.094s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-04 22:17:56,2018-09-04 22:17:59,2.928s,PASSED
verifyEqual,Chrome 68.0.3440.106,,2018-09-04 22:17:59,2018-09-04 22:17:59,0.013s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-04 22:17:59,2018-09-04 22:17:59,0.046s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-04 22:17:59,2018-09-04 22:17:59,0.021s,PASSED
verifyElementVisible,Chrome 68.0.3440.106,,2018-09-04 22:17:59,2018-09-04 22:17:59,0.041s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 22:17:59,2018-09-04 22:17:59,0.092s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-04 22:17:59,2018-09-04 22:18:00,0.561s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-04 22:18:00,2018-09-04 22:18:00,0.042s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-04 22:18:00,2018-09-04 22:18:00,0.048s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-04 22:18:00,2018-09-04 22:18:00,0.135s,PASSED
waitForElementVisible,Chrome 68.0.3440.106,,2018-09-04 22:18:00,2018-09-04 22:18:00,0.048s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-04 22:18:00,2018-09-04 22:18:00,0.117s,PASSED
waitForElementClickable,Chrome 68.0.3440.106,,2018-09-04 22:18:00,2018-09-04 22:18:00,0.044s,PASSED
click,Chrome 68.0.3440.106,,2018-09-04 22:18:00,2018-09-04 22:18:18,17.622s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-04 22:18:18,2018-09-04 22:18:19,0.692s,PASSED
